Time	Pulse	Heart Rate
0.945	-0.307142	74.5342
0.95	-0.265921	74.5342
0.955	-0.222158	74.5342
0.96	-0.169414	74.5342
0.965	-0.111378	74.5342
0.97	-0.0488739	74.5342
0.975	0.0154213	74.5342
0.98	0.0854914	74.5342
0.985	0.158053	74.5342
0.99	0.232	74.5342
0.995	0.30549	74.5342
1	0.380035	74.5342
1.005	0.453771	74.5342
1.01	0.529375	74.5342
1.015	0.605411	74.5342
1.02	0.680554	74.5342
1.025	0.753824	74.5342
1.03	0.824844	74.5342
1.035	0.892509	74.5342
1.04	0.957236	74.5342
1.045	1.01931	74.5342
1.05	1.07902	74.5342
1.055	1.13613	74.5342
1.06	1.19052	74.5342
1.065	1.2417	74.5342
1.07	1.28848	74.5342
1.075	1.33098	74.5342
1.08	1.36541	74.5342
1.085	1.39285	74.5342
1.09	1.41909	74.5342
1.095	1.44309	74.5342
1.1	1.46571	74.5342
1.105	1.48629	74.5342
1.11	1.50254	74.5342
1.115	1.51465	74.5342
1.12	1.5225	74.5342
1.125	1.52581	65.2174
1.13	1.52218	65.2174
1.135	1.51217	65.2174
1.14	1.49781	65.2174
1.145	1.47974	65.2174
1.15	1.45909	65.2174
1.155	1.43617	65.2174
1.16	1.40993	65.2174
1.165	1.37862	65.2174
1.17	1.33797	65.2174
1.175	1.29017	65.2174
1.18	1.23905	65.2174
1.185	1.18426	65.2174
1.19	1.12821	65.2174
1.195	1.07041	65.2174
1.2	1.00936	65.2174
1.205	0.945454	65.2174
1.21	0.881571	65.2174
1.215	0.816176	65.2174
1.22	0.748982	65.2174
1.225	0.68059	65.2174
1.23	0.612166	65.2174
1.235	0.544128	65.2174
1.24	0.481746	65.2174
1.245	0.424734	65.2174
1.25	0.374352	65.2174
1.255	0.329699	65.2174
1.26	0.291201	65.2174
1.265	0.258118	65.2174
1.27	0.227852	65.2174
1.275	0.200808	65.2174
1.28	0.177284	65.2174
1.285	0.157839	65.2174
1.29	0.14163	65.2174
1.295	0.128459	65.2174
1.3	0.119099	65.2174
1.305	0.113181	65.2174
1.31	0.110652	65.2174
1.315	0.110684	65.2174
1.32	0.110735	65.2174
1.325	0.111239	65.2174
1.33	0.110945	65.2174
1.335	0.110821	65.2174
1.34	0.109168	65.2174
1.345	0.106398	65.2174
1.35	0.10294	65.2174
1.355	0.0993773	65.2174
1.36	0.0970027	65.2174
1.365	0.0952791	65.2174
1.37	0.0907884	65.2174
1.375	0.0843794	65.2174
1.38	0.0751967	65.2174
1.385	0.0639592	65.2174
1.39	0.0536879	65.2174
1.395	0.0448231	65.2174
1.4	0.0361441	65.2174
1.405	0.027888	65.2174
1.41	0.017173	65.2174
1.415	0.0050763	65.2174
1.42	-0.00807043	65.2174
1.425	-0.0215893	65.2174
1.43	-0.0366286	65.2174
1.435	-0.0528585	65.2174
1.44	-0.0712414	65.2174
1.445	-0.091024	65.2174
1.45	-0.111458	65.2174
1.455	-0.132224	65.2174
1.46	-0.152302	65.2174
1.465	-0.171029	65.2174
1.47	-0.194524	65.2174
1.475	-0.221578	65.2174
1.48	-0.246751	65.2174
1.485	-0.270456	65.2174
1.49	-0.295426	65.2174
1.495	-0.320106	65.2174
1.5	-0.342406	65.2174
1.505	-0.36331	65.2174
1.51	-0.383506	65.2174
1.515	-0.401738	65.2174
1.52	-0.419844	65.2174
1.525	-0.437852	65.2174
1.53	-0.455967	65.2174
1.535	-0.47368	65.2174
1.54	-0.489864	65.2174
1.545	-0.504268	65.2174
1.55	-0.516795	65.2174
1.555	-0.527026	65.2174
1.56	-0.536858	65.2174
1.565	-0.545362	65.2174
1.57	-0.554316	65.2174
1.575	-0.563178	65.2174
1.58	-0.572653	65.2174
1.585	-0.58199	65.2174
1.59	-0.589166	65.2174
1.595	-0.594153	65.2174
1.6	-0.5966	65.2174
1.605	-0.596478	65.2174
1.61	-0.593671	65.2174
1.615	-0.600963	65.2174
1.62	-0.649197	65.2174
1.625	-0.72421	65.2174
1.63	-0.797758	65.2174
1.635	-0.866517	65.2174
1.64	-0.929772	65.2174
1.645	-0.987666	65.2174
1.65	-1.04039	65.2174
1.655	-1.08802	65.2174
1.66	-1.12943	65.2174
1.665	-1.16482	65.2174
1.67	-1.19639	65.2174
1.675	-1.22428	65.2174
1.68	-1.24815	65.2174
1.685	-1.26811	65.2174
1.69	-1.28397	65.2174
1.695	-1.29585	65.2174
1.7	-1.30393	65.2174
1.705	-1.30834	65.2174
1.71	-1.31033	65.2174
1.715	-1.31004	65.2174
1.72	-1.30704	65.2174
1.725	-1.3014	65.2174
1.73	-1.29275	65.2174
1.735	-1.28119	65.2174
1.74	-1.26729	65.2174
1.745	-1.25113	65.2174
1.75	-1.23225	65.2174
1.755	-1.21069	65.2174
1.76	-1.18748	65.2174
1.765	-1.16263	65.2174
1.77	-1.13637	65.2174
1.775	-1.10862	65.2174
1.78	-1.07731	65.2174
1.785	-1.0425	65.2174
1.79	-1.00666	65.2174
1.795	-0.969643	65.2174
1.8	-0.927876	65.2174
1.805	-0.881362	65.2174
1.81	-0.833303	65.2174
1.815	-0.783674	65.2174
1.82	-0.730612	65.2174
1.825	-0.674084	65.2174
1.83	-0.614662	65.2174
1.835	-0.552347	65.2174
1.84	-0.486833	65.2174
1.845	-0.418165	65.2174
1.85	-0.34685	65.2174
1.855	-0.272986	65.2174
1.86	-0.197457	65.2174
1.865	-0.120387	65.2174
1.87	-0.0413513	65.2174
1.875	0.0395198	65.2174
1.88	0.122051	65.2174
1.885	0.206192	65.2174
1.89	0.292956	65.2174
1.895	0.382239	65.2174
1.9	0.473922	65.2174
1.905	0.567916	65.2174
1.91	0.664092	65.2174
1.915	0.754256	65.2174
1.92	0.80672	65.2174
1.925	0.822351	65.2174
1.93	0.832096	65.2174
1.935	0.842603	65.2174
1.94	0.853666	65.2174
1.945	0.865211	65.2174
1.95	0.877159	65.2174
1.955	0.889422	65.2174
1.96	0.90191	65.2174
1.965	0.914497	65.2174
1.97	0.927015	65.2174
1.975	0.939371	65.2174
1.98	0.951494	65.2174
1.985	0.963326	65.2174
1.99	0.974811	65.2174
1.995	0.985843	65.2174
2	0.996275	65.2174
2.005	1.00602	65.2174
2.01	1.015	65.2174
2.015	1.02309	65.2174
2.02	1.03007	65.2174
2.025	1.03589	65.2174
2.03	1.04049	65.2174
2.035	1.0438	65.2174
2.04	1.04577	65.2174
2.045	1.0463	74.0741
2.05	1.04527	74.0741
2.055	1.04264	74.0741
2.06	1.03843	74.0741
2.065	1.03259	74.0741
2.07	1.0251	74.0741
2.075	1.016	74.0741
2.08	1.00541	74.0741
2.085	0.993351	74.0741
2.09	0.979923	74.0741
2.095	0.965241	74.0741
2.1	0.949541	74.0741
2.105	0.932943	74.0741
2.11	0.915651	74.0741
2.115	0.897743	74.0741
2.12	0.879337	74.0741
2.125	0.860513	74.0741
2.13	0.841442	74.0741
2.135	0.822235	74.0741
2.14	0.803061	74.0741
2.145	0.783971	74.0741
2.15	0.765053	74.0741
2.155	0.746382	74.0741
2.16	0.728083	74.0741
2.165	0.710133	74.0741
2.17	0.692467	74.0741
2.175	0.675092	74.0741
2.18	0.658037	74.0741
2.185	0.641312	74.0741
2.19	0.624961	74.0741
2.195	0.608995	74.0741
2.2	0.59341	74.0741
2.205	0.57819	74.0741
2.21	0.563335	74.0741
2.215	0.548828	74.0741
2.22	0.534616	74.0741
2.225	0.520663	74.0741
2.23	0.506935	74.0741
2.235	0.493408	74.0741
2.24	0.480029	74.0741
2.245	0.466793	74.0741
2.25	0.45372	74.0741
2.255	0.440491	74.0741
2.26	0.427088	74.0741
2.265	0.413794	74.0741
2.27	0.400559	74.0741
2.275	0.38702	74.0741
2.28	0.373186	74.0741
2.285	0.357288	74.0741
2.29	0.340541	74.0741
2.295	0.324722	74.0741
2.3	0.309446	74.0741
2.305	0.293842	74.0741
2.31	0.278049	74.0741
2.315	0.260552	74.0741
2.32	0.242329	74.0741
2.325	0.224673	74.0741
2.33	0.20726	74.0741
2.335	0.187613	74.0741
2.34	0.167031	74.0741
2.345	0.146588	74.0741
2.35	0.126542	74.0741
2.355	0.107864	74.0741
2.36	0.0898566	74.0741
2.365	0.0687679	74.0741
2.37	0.0465293	74.0741
2.375	0.0266111	74.0741
2.38	0.00816313	74.0741
2.385	-0.0104161	74.0741
2.39	-0.0286937	74.0741
2.395	-0.046018	74.0741
2.4	-0.0627633	74.0741
2.405	-0.0823062	74.0741
2.41	-0.10283	74.0741
2.415	-0.122879	74.0741
2.42	-0.141975	74.0741
2.425	-0.157955	74.0741
2.43	-0.172279	74.0741
2.435	-0.190244	74.0741
2.44	-0.209624	74.0741
2.445	-0.229707	74.0741
2.45	-0.249161	74.0741
2.455	-0.263209	74.0741
2.46	-0.274433	74.0741
2.465	-0.290555	74.0741
2.47	-0.308837	74.0741
2.475	-0.328887	74.0741
2.48	-0.348952	74.0741
2.485	-0.366158	74.0741
2.49	-0.382094	74.0741
2.495	-0.406753	74.0741
2.5	-0.434858	74.0741
2.505	-0.460412	74.0741
2.51	-0.483502	74.0741
2.515	-0.50216	74.0741
2.52	-0.518245	74.0741
2.525	-0.539326	74.0741
2.53	-0.562243	74.0741
2.535	-0.586167	74.0741
2.54	-0.60909	74.0741
2.545	-0.625222	74.0741
2.55	-0.63749	74.0741
2.555	-0.654808	74.0741
2.56	-0.674401	74.0741
2.565	-0.697118	74.0741
2.57	-0.719414	74.0741
2.575	-0.730568	74.0741
2.58	-0.736302	74.0741
2.585	-0.754118	74.0741
2.59	-0.777762	74.0741
2.595	-0.799233	74.0741
2.6	-0.817814	74.0741
2.605	-0.83114	74.0741
2.61	-0.841093	74.0741
2.615	-0.853235	74.0741
2.62	-0.865759	74.0741
2.625	-0.873122	74.0741
2.63	-0.876122	74.0741
2.635	-0.873216	74.0741
2.64	-0.866859	74.0741
2.645	-0.854652	74.0741
2.65	-0.837856	74.0741
2.655	-0.809796	74.0741
2.66	-0.77464	74.0741
2.665	-0.73639	74.0741
2.67	-0.696824	74.0741
2.675	-0.649079	74.0741
2.68	-0.5957	74.0741
2.685	-0.536752	74.0741
2.69	-0.474944	74.0741
2.695	-0.411331	74.0741
2.7	-0.34574	74.0741
2.705	-0.272312	74.0741
2.71	-0.196101	74.0741
2.715	-0.117242	74.0741
2.72	-0.0375358	74.0741
2.725	0.0427992	74.0741
2.73	0.124397	74.0741
2.735	0.208897	74.0741
2.74	0.292585	74.0741
2.745	0.374352	74.0741
2.75	0.453362	74.0741
2.755	0.529133	74.0741
2.76	0.604415	74.0741
2.765	0.678107	74.0741
2.77	0.747963	74.0741
2.775	0.814638	74.0741
2.78	0.876756	74.0741
2.785	0.92792	74.0741
2.79	0.97388	74.0741
2.795	1.02035	74.0741
2.8	1.06227	74.0741
2.805	1.10302	74.0741
2.81	1.14163	74.0741
2.815	1.17262	74.0741
2.82	1.20021	74.0741
2.825	1.22893	74.0741
2.83	1.25405	74.0741
2.835	1.27104	74.0741
2.84	1.2815	74.0741
2.845	1.29268	74.0741
2.85	1.30443	74.0741
2.855	1.30802	71.8563
2.86	1.30329	71.8563
2.865	1.29088	71.8563
2.87	1.27132	71.8563
2.875	1.25614	71.8563
2.88	1.24476	71.8563
2.885	1.22014	71.8563
2.89	1.18263	71.8563
2.895	1.14223	71.8563
2.9	1.09835	71.8563
2.905	1.0525	71.8563
2.91	1.00512	71.8563
2.915	0.952415	71.8563
2.92	0.894439	71.8563
2.925	0.837025	71.8563
2.93	0.779334	71.8563
2.935	0.722954	71.8563
2.94	0.668052	71.8563
2.945	0.614843	71.8563
2.95	0.563042	71.8563
2.955	0.517344	71.8563
2.96	0.476748	71.8563
2.965	0.435515	71.8563
2.97	0.395128	71.8563
2.975	0.360905	71.8563
2.98	0.331428	71.8563
2.985	0.306512	71.8563
2.99	0.285084	71.8563
2.995	0.262083	71.8563
3	0.238122	71.8563
3.005	0.21941	71.8563
3.01	0.206918	71.8563
3.015	0.196369	71.8563
3.02	0.187787	71.8563
3.025	0.17814	71.8563
3.03	0.167826	71.8563
3.035	0.163996	71.8563
3.04	0.165855	71.8563
3.045	0.165793	71.8563
3.05	0.164699	71.8563
3.055	0.157041	71.8563
3.06	0.143991	71.8563
3.065	0.132855	71.8563
3.07	0.12434	71.8563
3.075	0.116472	71.8563
3.08	0.108995	71.8563
3.085	0.0924054	71.8563
3.09	0.067233	71.8563
3.095	0.046675	71.8563
3.1	0.0324633	71.8563
3.105	0.0193341	71.8563
3.11	0.00686239	71.8563
3.115	-0.0130723	71.8563
3.12	-0.0393796	71.8563
3.125	-0.0604559	71.8563
3.13	-0.0753445	71.8563
3.135	-0.0910409	71.8563
3.14	-0.108143	71.8563
3.145	-0.127365	71.8563
3.15	-0.14783	71.8563
3.155	-0.171897	71.8563
3.16	-0.197467	71.8563
3.165	-0.22274	71.8563
3.17	-0.247599	71.8563
3.175	-0.272237	71.8563
3.18	-0.296535	71.8563
3.185	-0.323269	71.8563
3.19	-0.35073	71.8563
3.195	-0.37454	71.8563
3.2	-0.395935	71.8563
3.205	-0.422137	71.8563
3.21	-0.450531	71.8563
3.215	-0.476897	71.8563
3.22	-0.501525	71.8563
3.225	-0.524603	71.8563
3.23	-0.545696	71.8563
3.235	-0.568115	71.8563
3.24	-0.590415	71.8563
3.245	-0.610077	71.8563
3.25	-0.627187	71.8563
3.255	-0.642464	71.8563
3.26	-0.655488	71.8563
3.265	-0.669507	71.8563
3.27	-0.68412	71.8563
3.275	-0.696708	71.8563
3.28	-0.705857	71.8563
3.285	-0.709759	71.8563
3.29	-0.709478	71.8563
3.295	-0.709545	71.8563
3.3	-0.709424	71.8563
3.305	-0.711278	71.8563
3.31	-0.713939	71.8563
3.315	-0.715606	71.8563
3.32	-0.716176	71.8563
3.325	-0.718169	71.8563
3.33	-0.719808	71.8563
3.335	-0.71825	71.8563
3.34	-0.713552	71.8563
3.345	-0.708025	71.8563
3.35	-0.702395	71.8563
3.355	-0.700446	71.8563
3.36	-0.700342	71.8563
3.365	-0.701512	71.8563
3.37	-0.702576	71.8563
3.375	-0.699994	71.8563
3.38	-0.694825	71.8563
3.385	-0.690489	71.8563
3.39	-0.685809	71.8563
3.395	-0.681224	71.8563
3.4	-0.677133	71.8563
3.405	-0.673519	71.8563
3.41	-0.669355	71.8563
3.415	-0.66644	71.8563
3.42	-0.663915	71.8563
3.425	-0.662009	71.8563
3.43	-0.660317	71.8563
3.435	-0.65872	71.8563
3.44	-0.655674	71.8563
3.445	-0.650191	71.8563
3.45	-0.64359	71.8563
3.455	-0.640185	71.8563
3.46	-0.638729	71.8563
3.465	-0.63278	71.8563
3.47	-0.623563	71.8563
3.475	-0.61095	71.8563
3.48	-0.595682	71.8563
3.485	-0.576215	71.8563
3.49	-0.554243	71.8563
3.495	-0.521431	71.8563
3.5	-0.481639	71.8563
3.505	-0.438952	71.8563
3.51	-0.395895	71.8563
3.515	-0.346283	71.8563
3.52	-0.292809	71.8563
3.525	-0.236755	71.8563
3.53	-0.179492	71.8563
3.535	-0.1181	71.8563
3.54	-0.0558331	71.8563
3.545	0.00732557	71.8563
3.55	0.0706793	71.8563
3.555	0.134273	71.8563
3.56	0.197118	71.8563
3.565	0.259566	71.8563
3.57	0.320791	71.8563
3.575	0.379097	71.8563
3.58	0.434616	71.8563
3.585	0.492626	71.8563
3.59	0.551605	71.8563
3.595	0.606138	71.8563
3.6	0.657204	71.8563
3.605	0.707164	71.8563
3.61	0.754724	71.8563
3.615	0.799009	71.8563
3.62	0.840365	71.8563
3.625	0.877101	71.8563
3.63	0.909295	71.8563
3.635	0.939908	71.8563
3.64	0.968751	71.8563
3.645	0.995726	71.8563
3.65	1.02108	71.8563
3.655	1.04319	71.8563
3.66	1.06105	71.8563
3.665	1.0754	71.8563
3.67	1.08597	71.8563
3.675	1.09543	71.8563
3.68	1.10379	71.8563
3.685	1.10862	71.8563
3.69	1.10947	72.7273
3.695	1.10731	72.7273
3.7	1.10251	72.7273
3.705	1.09325	72.7273
3.71	1.07947	72.7273
3.715	1.06122	72.7273
3.72	1.0386	72.7273
3.725	1.01227	72.7273
3.73	0.982366	72.7273
3.735	0.949372	72.7273
3.74	0.912279	72.7273
3.745	0.872818	72.7273
3.75	0.831584	72.7273
3.755	0.787436	72.7273
3.76	0.73976	72.7273
3.765	0.691597	72.7273
3.77	0.643037	72.7273
3.775	0.594892	72.7273
3.78	0.546665	72.7273
3.785	0.501035	72.7273
3.79	0.457497	72.7273
3.795	0.417437	72.7273
3.8	0.381468	72.7273
3.805	0.349101	72.7273
3.81	0.32017	72.7273
3.815	0.294559	72.7273
3.82	0.272358	72.7273
3.825	0.252966	72.7273
3.83	0.235992	72.7273
3.835	0.223466	72.7273
3.84	0.215374	72.7273
3.845	0.208345	72.7273
3.85	0.201939	72.7273
3.855	0.194135	72.7273
3.86	0.186156	72.7273
3.865	0.178761	72.7273
3.87	0.171957	72.7273
3.875	0.164408	72.7273
3.88	0.156338	72.7273
3.885	0.148409	72.7273
3.89	0.141387	72.7273
3.895	0.133251	72.7273
3.9	0.123601	72.7273
3.905	0.112811	72.7273
3.91	0.102096	72.7273
3.915	0.088702	72.7273
3.92	0.0735517	72.7273
3.925	0.0576302	72.7273
3.93	0.0413393	72.7273
3.935	0.025264	72.7273
3.94	0.00922829	72.7273
3.945	-0.00984601	72.7273
3.95	-0.0306066	72.7273
3.955	-0.0510463	72.7273
3.96	-0.0705917	72.7273
3.965	-0.0916128	72.7273
3.97	-0.112925	72.7273
3.975	-0.134796	72.7273
3.98	-0.15648	72.7273
3.985	-0.175385	72.7273
3.99	-0.192745	72.7273
3.995	-0.215348	72.7273
4	-0.240521	72.7273
4.005	-0.264777	72.7273
4.01	-0.288396	72.7273
4.015	-0.3141	72.7273
4.02	-0.340524	72.7273
4.025	-0.366697	72.7273
4.03	-0.392065	72.7273
4.035	-0.413653	72.7273
4.04	-0.432383	72.7273
4.045	-0.454616	72.7273
4.05	-0.478455	72.7273
4.055	-0.50082	72.7273
4.06	-0.521289	72.7273
4.065	-0.540947	72.7273
4.07	-0.559577	72.7273
4.075	-0.577956	72.7273
4.08	-0.594818	72.7273
4.085	-0.608751	72.7273
4.09	-0.620296	72.7273
4.095	-0.634945	72.7273
4.1	-0.650526	72.7273
4.105	-0.662641	72.7273
4.11	-0.67214	72.7273
4.115	-0.682186	72.7273
4.12	-0.691495	72.7273
4.125	-0.69775	72.7273
4.13	-0.701095	72.7273
4.135	-0.702586	72.7273
4.14	-0.702243	72.7273
4.145	-0.700915	72.7273
4.15	-0.698042	72.7273
4.155	-0.695823	72.7273
4.16	-0.693673	72.7273
4.165	-0.687833	72.7273
4.17	-0.679278	72.7273
4.175	-0.669884	72.7273
4.18	-0.659285	72.7273
4.185	-0.647068	72.7273
4.19	-0.633878	72.7273
4.195	-0.620369	72.7273
4.2	-0.605641	72.7273
4.205	-0.590711	72.7273
4.21	-0.576044	72.7273
4.215	-0.562548	72.7273
4.22	-0.549582	72.7273
4.225	-0.535597	72.7273
4.23	-0.520524	72.7273
4.235	-0.503362	72.7273
4.24	-0.484775	72.7273
4.245	-0.469947	72.7273
4.25	-0.457447	72.7273
4.255	-0.445685	72.7273
4.26	-0.434441	72.7273
4.265	-0.426415	72.7273
4.27	-0.420383	72.7273
4.275	-0.414986	72.7273
4.28	-0.40943	72.7273
4.285	-0.399903	72.7273
4.29	-0.387197	72.7273
4.295	-0.377245	72.7273
4.3	-0.369772	72.7273
4.305	-0.358619	72.7273
4.31	-0.344708	72.7273
4.315	-0.328148	72.7273
4.32	-0.310427	72.7273
4.325	-0.287769	72.7273
4.33	-0.261795	72.7273
4.335	-0.226242	72.7273
4.34	-0.185011	72.7273
4.345	-0.142451	72.7273
4.35	-0.100148	72.7273
4.355	-0.0522339	72.7273
4.36	-0.00165026	72.7273
4.365	0.0528938	72.7273
4.37	0.108902	72.7273
4.375	0.164981	72.7273
4.38	0.219744	72.7273
4.385	0.275239	72.7273
4.39	0.330661	72.7273
4.395	0.38463	72.7273
4.4	0.435462	72.7273
4.405	0.484926	72.7273
4.41	0.533377	72.7273
4.415	0.580012	72.7273
4.42	0.623921	72.7273
4.425	0.666901	72.7273
4.43	0.708391	72.7273
4.435	0.746793	72.7273
4.44	0.782441	72.7273
4.445	0.814433	72.7273
4.45	0.842815	72.7273
4.455	0.866768	72.7273
4.46	0.887374	72.7273
4.465	0.909413	72.7273
4.47	0.931656	72.7273
4.475	0.949491	72.7273
4.48	0.963856	72.7273
4.485	0.976827	72.7273
4.49	0.988432	72.7273
4.495	0.996696	72.7273
4.5	1.00293	72.7273
4.505	1.00834	72.7273
4.51	1.01287	72.7273
4.515	1.01467	71.8563
4.52	1.01333	71.8563
4.525	1.00949	71.8563
4.53	1.00063	71.8563
4.535	0.988446	71.8563
4.54	0.972194	71.8563
4.545	0.950371	71.8563
4.55	0.925951	71.8563
4.555	0.899405	71.8563
4.56	0.868962	71.8563
4.565	0.833856	71.8563
4.57	0.795991	71.8563
4.575	0.75545	71.8563
4.58	0.710327	71.8563
4.585	0.663095	71.8563
4.59	0.614051	71.8563
4.595	0.562514	71.8563
4.6	0.50914	71.8563
4.605	0.455712	71.8563
4.61	0.402656	71.8563
4.615	0.350975	71.8563
4.62	0.301159	71.8563
4.625	0.254032	71.8563
4.63	0.211886	71.8563
4.635	0.176284	71.8563
4.64	0.146043	71.8563
4.645	0.118009	71.8563
4.65	0.0894892	71.8563
4.655	0.0643938	71.8563
4.66	0.0478052	71.8563
4.665	0.0369666	71.8563
4.67	0.0301177	71.8563
4.675	0.0254026	71.8563
4.68	0.021294	71.8563
4.685	0.0177524	71.8563
4.69	0.0163421	71.8563
4.695	0.0178254	71.8563
4.7	0.0213231	71.8563
4.705	0.0239422	71.8563
4.71	0.0241113	71.8563
4.715	0.0246226	71.8563
4.72	0.0251346	71.8563
4.725	0.025738	71.8563
4.73	0.0272634	71.8563
4.735	0.0282182	71.8563
4.74	0.027858	71.8563
4.745	0.0265675	71.8563
4.75	0.0216401	71.8563
4.755	0.0136989	71.8563
4.76	0.0034341	71.8563
4.765	-0.00569265	71.8563
4.77	-0.0137017	71.8563
